x,y,u,v,w,velocity_magnitude,pressure,divergence
0.015625,0.015625,0.00036793849079571218,-0.00036793849073164916,0,0.00052034360375708495,-17.59431920937871,4.1000328132589914e-12
0.046875,0.015625,0.00087547415297901856,-0.00013959717132286723,0,0.00088653390390648677,-20.257964350993369,4.1425265995265192e-12
0.078125,0.015625,0.00080857639507646154,0.00020649492935062718,0,0.0008345273767362977,-24.268022485883172,3.8704612431716967e-12
0.109375,0.015625,0.00012496994414050992,0.00047711152170768552,0,0.00049320674274051183,-27.830195121161637,3.9606477819642549e-12
0.140625,0.015625,-0.00099427886752632521,0.00064213729007571614,0,0.0011836092115707854,-30.25704949459212,3.499603384859995e-12
0.171875,0.015625,-0.0023545266220412727,0.00071811046454933465,0,0.0024616007501616398,-31.401530593142343,3.5470099080114892e-12
0.203125,0.015625,-0.0038053757563802212,0.00073273866989224641,0,0.0038752794229064049,-31.362374718309418,3.0214858393051713e-12
0.234375,0.015625,-0.005249548664288577,0.00071143423810913966,0,0.0052975371498355647,-30.327062986659808,2.9324667694119455e-12
0.265625,0.015625,-0.0066337983342421789,0.00067281543192860085,0,0.00666783030264235,-28.486599441918184,2.4523785779884122e-12
0.296875,0.015625,-0.0079349571074738903,0.00062834334137542897,0,0.0079597964579567766,-25.996057453462072,2.1760510060531146e-12
0.328125,0.015625,-0.0091469333067925162,0.00058363285800533133,0,0.0091655341487473455,-22.962771776336453,1.8004972512919437e-12
0.359375,0.015625,-0.010270705951482587,0.00054013978673386396,0,0.01028489920859863,-19.449178311589232,1.343473943204998e-12
0.390625,0.015625,-0.011307482576723916,0.00049663683854533729,0,0.011318383734982448,-15.482042132925864,1.0804135364139711e-12
0.421875,0.015625,-0.012254422025770356,0.00045030261052560617,0,0.012262692674397896,-11.063575954569595,4.8782505812638988e-13
0.453125,0.015625,-0.013102175583656558,0.00039745094737320098,0,0.013108202480909955,-6.1824791184782564,3.1889074714186449e-13
0.484375,0.015625,-0.013833632161133211,0.00033400563010289869,0,0.013837663767069915,-0.8243971143605513,-3.5438665890730192e-13
0.515625,0.015625,-0.014423477601153832,0.00025583980990512002,0,0.014425746431963878,5.0179691969425448,-4.5210016286212351e-13
0.546875,0.015625,-0.014838407483887404,0.00015909007280335535,0,0.01483926030195408,11.334607807559804,-1.1541722438890289e-12
0.578125,0.015625,-0.015038039023736377,4.054146700873226e-05,0,0.01503809367207045,18.087307792557432,-1.2063991298993937e-12
0.609375,0.015625,-0.01497674987052754,-0.00010183062026580042,0,0.014977096052291659,25.197859648044687,-1.8803908083397936e-12
0.640625,0.015625,-0.014606834664159693,-0.00026808458616151286,0,0.014609294584319759,32.535460728490257,-1.9255326499934e-12
0.671875,0.015625,-0.013883508913846595,-0.00045524116422078416,0,0.013890970602461836,39.904097186471724,-2.5032302619631963e-12
0.703125,0.015625,-0.012772373424915684,-0.0006558943247897131,0,0.012789203269585785,47.031710913521756,-2.5902613387529527e-12
0.734375,0.015625,-0.011259904475263349,-0.00085657462495009355,0,0.011292438571015738,53.564544615834123,-3.007899485041321e-12
0.765625,0.015625,-0.0093672069679725297,-0.0010361228824372734,0,0.0094243364227060162,59.072336047340627,-3.1711577808124503e-12
0.796875,0.015625,-0.0071664162669577564,-0.0011646678186801949,0,0.0072604389150509371,63.072976826939012,-3.4013486471806686e-12
0.828125,0.015625,-0.0047974240042763386,-0.001204324444111098,0,0.0049462788481332435,65.088350560327825,-3.6306235795535713e-12
0.859375,0.015625,-0.0024796751753002832,-0.0011134243849795537,0,0.0027181800595375552,64.744911557151454,-3.7035513544836363e-12
0.890625,0.015625,-0.00050933754713472403,-0.00085691324330537189,0,0.00099685758434861125,61.931147247306804,-3.935886339068162e-12
0.921875,0.015625,0.00077469815828491782,-0.00042712246223712265,0,0.00088464164168184278,57.021996196470724,-3.926685365751581e-12
0.953125,0.015625,0.001089156481478646,0.00011266413891837731,0,0.0010949680585958495,51.219789663750426,-4.0744204884979318e-12
0.984375,0.015625,0.00048824617124830288,0.00048824617118485721,0,0.00069048435711122373,47.190803139979884,-4.0605227513701436e-12
0.015625,0.046875,0.00015494845030413135,-0.00089082543170245008,0,0.00090420073657319509,-15.021344515532165,4.1586942223226231e-12
0.046875,0.046875,9.7236011667163358e-05,-6.6533453644551633e-05,0,0.00011781995764219419,-17.67924881601769,3.8453424472395525e-12
0.078125,0.046875,-0.00080560621838195764,0.0011031711998756605,0,0.0013660117405537857,-21.071939824887611,4.2486153484233569e-12
